Title,Link
"by-law 15-058 - office consolidation(pdf, 291.14 kb)",https://www.hamilton.ca/sites/default/files/2023-04/15-058-consolidation-dec2022.pdf
"by-law no. 09-190(pdf, 213.31 kb)",https://www.hamilton.ca/sites/default/files/2022-06/09-190-consolidated.pdf
4401-96 tree by-law (stoney creek),https://www.hamilton.ca/sites/default/files/2022-02/private-property-stoney-creek-4401-96-amendments.pdf
18-008 to amend responsible animal ownership by-law no. 12-031,https://www.hamilton.ca/sites/default/files/2022-05/18-008.pdf
22-103 to amend sewer use by-law no. 14-090,https://www.hamilton.ca/sites/default/files/2022-06/22-103.pdf
22-272 to amend by-law no. 15-058  a by-law respecting building permits and related matters,https://www.hamilton.ca/sites/default/files/2022-12/22-272.pdf
"section 6.5 - downtown residential (d5) zone(pdf, 135.95 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section6-5-d5zone-jul2022.pdf
"09-111 to repeal by-law no. 06-234, a by-law to regulate restaurant and public halls in the hess village entertainment district and to amend by-law no. 07-170, a by-law to license and regulate various businesses",https://www.hamilton.ca/sites/default/files/2022-03/09-111.pdf
"23-087 to amend by-law r00-054, the regional municipality of hamilton-wentworth conservation by-law (as amended by by-law 10-013, by-law 14-213, and by-law 17-094)",https://www.hamilton.ca/sites/default/files/2023-05/23-087.pdf
10-103 backflow prevention by-law,https://www.hamilton.ca/sites/default/files/2022-03/10-103-consolidation.pdf
"section: 12.2 - rural (a2) zone(pdf, 203.07 kb)",https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section12-2-a2zone-apr2024.pdf
"18-026 to amend by-law no. 10-197, a by-law respecting signs within the city of hamilton",https://www.hamilton.ca/sites/default/files/2022-05/18-026.pdf
93-003 to amend streets by-law no. 86-77,https://www.hamilton.ca/sites/default/files/2022-06/93-003.pdf
"section: 14.0 - waterfront zone(pdf, 144.69 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section14-0-waterfrontzone-nov2021.pdf
"08-298 to amend by-law no. 03-294, to establish site plan control in the city of hamilton",https://www.hamilton.ca/sites/default/files/2022-02/08-298-Repealed.pdf
"19-302 to amend by-law no. 17-225, to establish a system of administrative penalties",https://www.hamilton.ca/sites/default/files/2022-05/19-302.pdf
"section: 9.4 - business park support (m4) zone(pdf, 155.88 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section9-4-m4zone-nov2021.pdf
"pic 2 display panels(pdf, 5.26 mb)",https://www.hamilton.ca/sites/default/files/2022-09/park-sam-lawrence-pic2-panels.pdf
"review zoning by-law amendment submission requirements & information(pdf, 144.92 kb)",https://www.hamilton.ca/sites/default/files/2024-01/pedapplication-submission-requirements-opa-zba1.pdf
"section: 7.6 - conservation/hazard land rural (p6) zone(pdf, 154.91 kb)",https://www.hamilton.ca/sites/default/files/2023-07/zoningby-law05-200-section7-6-p6zone-jul2023.pdf
"15-280 to amend by-law no. 15-058, a by-law respecting building permits and related matters",https://www.hamilton.ca/sites/default/files/2022-06/15-280.pdf
06-199 to amend the sewer use by-law no. 04-150,https://www.hamilton.ca/sites/default/files/2022-02/06-199-Repealed.pdf
"12-140 to amend by-law no. 10-118, a by-law to regulate exterior property maintenance",https://www.hamilton.ca/sites/default/files/2022-04/12-140.pdf
15-238 omb case no. pl151130 - to amend by-law no. 15-173,https://www.hamilton.ca/sites/default/files/2022-06/15-238-OMBDecision.pdf
13-127 to amend property standards by-law no. 10-221,https://www.hamilton.ca/sites/default/files/2022-04/13-127.pdf
"10-315 to amend by-law no. 10-142, a by-law to regulate fences",https://www.hamilton.ca/sites/default/files/2022-03/10-315.pdf
19-253 to amend site alteration by-law no. 03-126,https://www.hamilton.ca/sites/default/files/2022-05/19-253-Repealed_0.pdf
"by-law no. 15-051(pdf, 344.04 kb)",https://www.hamilton.ca/sites/default/files/2022-05/15-051.pdf
05-200 zoning by-law section: 12.2 - rural (a2) zone,https://www.hamilton.ca/sites/default/files/2024-04/zoningby-law05-200-section12-2-a2zone-apr2024.pdf
92-010 to amend streets by-law no. 86-77,https://www.hamilton.ca/sites/default/files/2022-06/92-010.pdf
23-067 a by-law to amend the procedural by-law no. 21-021,https://www.hamilton.ca/sites/default/files/2023-05/23-067.pdf
"section: 10.1 - residential character commercial (c1) zone(pdf, 85.43 kb)",https://www.hamilton.ca/sites/default/files/2022-07/zoningby-law05-200-section10-1-c1zone-jul2022.pdf
3581-86 zoning by-law of the corporation of the town of dundas,https://www.hamilton.ca/sites/default/files/2022-11/dundas-zoning-by-law-3581-86-nov2022.pdf
