Title,Link
Open new window to view Chapter 110 - Bylaw Enforcement ,https://lf.kitchener.ca/WebLinkExt/DocView.aspx?dbid=0&id=1789216
Open new window to view commercial kitchen regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1997572/Commercial%20Kitchen.pdf
Open new window to view permanent vendor regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584703/Permanent%20Vendor.pdf?_ga=2.245909892.1689925153.1606064828-1723526567.1566582097
Open new window to view place of amusement regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584706/Place%20of%20Amusement.pdf?_ga=2.78661140.1689925153.1606064828-1723526567.1566582097
Open new window to view special event regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584710/Special%20Event.pdf?_ga=2.12649783.1689925153.1606064828-1723526567.1566582097
Open new window to view laundrette or dry cleaner regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584697/Laundrette.pdf?_ga=2.209348882.1689925153.1606064828-1723526567.1566582097
Open new window to view auctioneer regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584688/Auctioneer.pdf?_ga=2.242493058.1689925153.1606064828-1723526567.1566582097
Open new window to view building bylaw,https://lf.kitchener.ca/WebLinkExt/DocView.aspx?dbid=0&id=1745866&page=1&cr=1
Open new window to view theatre regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584713/Theatre.pdf?_ga=2.256124171.1689925153.1606064828-1723526567.1566582097
Open new window to view coop regulations,https://lf.kitchener.ca/WebLinkExt/0/doc/1497603/Page1.aspx
Open new window to view refreshment vehicle regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584709/Refreshment%20Vehicles.pdf?_ga=2.48844326.1689925153.1606064828-1723526567.1566582097
Open new window to view pet shop regulations,https://lf.kitchener.ca/WebLinkExt/0/edoc/1584705/Pet%20Shop.pdf?_ga=2.41053730.1689925153.1606064828-1723526567.1566582097
Open new window to view DSD-2021-42: New Zoning By-law (Stage 2a) – Residential Base Zones,https://lf.kitchener.ca/WebLinkExt/0/doc/1928995/Page1.aspx
Open new window to view DSD-19-272: New Zoning By-law (Stage 2a) – Deferred Item: RES-3 Lot Width,https://lf.kitchener.ca/WebLinkExt/0/doc/1803283/Page1.aspx
Open new window to view business licensing bylaws,https://lf.kitchener.ca/WebLinkExt/DocView.aspx?id=1789212&cr=1
