Title,Link
Open new window to view Proposed Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Rockway_Proposed_Zoning.pdf
Download the 2008 park dedication bylaw,/en/resourcesGeneral/Documents/DSD_PLAN_Park_Dedication_By-Law_2008-93.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Victoria_Park_Proposed_Zoning.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_CHSC_Existing_Zoning.pdf
Download the approved zoning by-law,/en/resourcesGeneral/Documents/DSD_PLAN_CRoZBy_Signed_By-law.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_KWH_Rockway_Existing_Zoning.pdf
Download the park dedication bylaw,/en/resourcesGeneral/Documents/DSD_PLAN_Park_Dedication_By-Law_2022-101.pdf
Open new window to view Existing Zoning map,/en/resourcesGeneral/Documents/DSD_PLAN_Existing_Lower_Doon_Zoning.pdf
Open new window to view Section 4 - General Regulations ,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_ZBL_section_4.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Cedar_Hill_Proposed_Zoning.pdf
Open new window to view Zoning Typologies,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Zoning_Typologies_Sec_Plans.pdf
Download the development charges bylaw,/en/resourcesGeneral/Documents/DSD_BUILD_DC_Bylaw.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_King_St_E_Existing_Zoning.pdf
Download the traffic and parking bylaw,/en/resourcesGeneral/Documents/DSD_TRANSPORT_Traffic_And_Parking_Bylaw.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Victoria_Park_Existing_Zoning.pdf
Download the site alteration bylaw,/en/resourcesGeneral/Documents/DSD_ENG_Site_Alteration_bylaw.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Victoria_Street_Existing_Zoning.pdf
Open new window to view Proposed Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Map_3_from_King_St_E.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_MCWP_Rockway_Existing_Zoning.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Midtown_Proposed_Zoning.pdf
Open new window to view Proposed Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Map_3_from_Mill_Courtland_and_Woodside_Park.pdf
Download the termite prevention and control bylaw,/en/resourcesGeneral/Documents/CSD_BYLAW_Termite_Prevention_And_Control.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_King_St_E_Proposed_Zoning.pdf
Download the accessible parking bylaw,/en/resourcesGeneral/Documents/CSD_BYLAW_Accessible_parking_bylaw.pdf
Open new window to view Existing Zoning Map,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Civic_Centre_Existing_Zoning.pdf
Download the application for a minor or major zoning bylaw amendment,/en/resourcesGeneral/Documents/DSD_PLAN_2024_Application_for_Zoning_By-law_Amendment.pdf
Open new window to view tree conservation bylaw,/en/resourcesGeneral/Documents/DSD_PLAN_Tree-Conservation-Bylaw.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Victoria_Street_Proposed_Zoning.pdf
Open new window to view Proposed Zoning,/en/resourcesGeneral/Documents/DSD_PLAN_NPR_Civic_Centre_Proposed_Zoning.pdf
